id;parent;abstract;attrib;description;name;
5834034d;abstractNamed;;72b37366 c496f50f 80c1003b;The primary abstraction of the policy is the objectClass element.An objectClass describes a concept derived from either a builtin zenta element, or another objectClass: the ancestor of the objectClass.We can define the objectClass of an zenta element in one of the following ways:- add a property where the name is "objectClass" and the value is the name of the objectclass- add a property where the name is in the form &lt;class&gt;:&lt;property&gt;, where &lt;class&gt; is the name of the objectclass, and &lt;property&gt; is the name of one of the properties of the objectclass. The value vill be the value of the objectClass property.- create a Group in a view, with the property named "associatedObjectClass". The value of the property should be the name of the objectClass. All the elements within the group (including the nested ones) will belong to the objectClassThe policy related to the objectclass will help to check the model for structure and content, and also makes creating reports and generating configurations easier.One of the examples of this is that the policy for this model can be generated from this model, and the generated policy can be used to check that this model is indeed conforms to the policy which is generated from it :);objectClass;
6ab69c29;abstractNamed;;8d960b3e 3b4e5bbc 974790c3 378950dd 972588ae;The attribute is used to describe a attribute of an objectClass.You can define a attribute value either by giving the value to a property named &lt;b&gt;classname&lt;/b&gt;:&lt;b&gt;attributename&lt;/b&gt; to an object, or by using a model structure defined by the defaults of the given attribute.;attribute;
7aba69d1;zenta:DataObject;;0dff4259 77f11989 cdc8f974 547c517e;The default is used to describe how a property will get its default value if we have not given anything.It is useful to- describe and enforce structural relationships within the model- give default value to a propertyThis attribute should be entered as a property.;default;
07ee5607;abstractNamed zenta:DataObject;;;An objectclass predefined by Zenta.This does not show up in the policy file explicitly. Used to have a starting point to generate/document the objectClass hierarchy.;ZentamateObjectClass;
d2886808;zenta:DataObject;true;a99529e2 9bdf194e;This is an abstract class, so we don't need to define the name and description property for all objectClasses.;abstractNamed;
b6b62bd4;abstractNamed zenta:ApplicationComponent;;4666bdc0 df2abf25 05ec65d6 c012a502;An application or system.;Application;
0a4a1c24;abstractNamed zenta:ApplicationComponent;;4666bdc0 05ec65d6;A collection of applications/systems that belong together eg. Salary payment.;ApplicationCollection;
fe5c65b7;abstractNamed zenta:Node;;6ea847ae 31b06206 871fc2f2 5f4cdc11 d63b56c2 bfd0d4dc 05aed334 df2abf25 05ec65d6;A server with an operating system, running on a physical or virtual hardware.;Server;
c73e22bc;zenta:Folder zenta:model;;5850f515;folder properties to parameterize reports;report;
e2ac9f22;zenta:Product zenta:Plateau;;6f01bf3a ed7baa8b 4ef928e8;A Document version.;DocumentVersion;
dfaa4387;abstractNamed zenta:BusinessEvent zenta:BusinessProcess;;e314799d 3352c46b;A governance process step.It is used to describe the related actors by the documentcontrol style.;GovernanceStep;
229a7d9f;abstractNamed zenta:BusinessCollaboration;;;An organisational unit.;OrganisationalUnit;
e7aa271c;zenta:BusinessActor;;9bdf194e 694b17c2 2d7a05b4 523d0f25;A person belonging to an organisation;OrganisationalPerson;
